To use data.metrics please install scikit-learn. See https://scikit-learn.org/stable/index.html
Data file :  /home/cs17btech11044/data_mining/data-mining/data/main_data_splits/train.json
checkpoints dir :  /home/cs17btech11044/data_mining/data-mining/nyt/bert-base-uncased_train
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Epoch 0 | Batch 0/4225 | Loss 4.007810 | Accuracy 0.000000
Epoch 0 | Batch 50/4225 | Loss 2.124566 | Accuracy 50.796569
Epoch 0 | Batch 100/4225 | Loss 1.835707 | Accuracy 53.217822
Epoch 0 | Batch 150/4225 | Loss 1.635291 | Accuracy 55.939570
Epoch 0 | Batch 200/4225 | Loss 1.515550 | Accuracy 56.980721
Epoch 0 | Batch 250/4225 | Loss 1.439394 | Accuracy 57.507470
Epoch 0 | Batch 300/4225 | Loss 1.373238 | Accuracy 58.098007
Epoch 0 | Batch 350/4225 | Loss 1.323914 | Accuracy 58.725071
Epoch 0 | Batch 400/4225 | Loss 1.280423 | Accuracy 59.491895
Epoch 0 | Batch 450/4225 | Loss 1.249902 | Accuracy 59.769956
Epoch 0 | Batch 500/4225 | Loss 1.221964 | Accuracy 59.936377
Epoch 0 | Batch 550/4225 | Loss 1.193638 | Accuracy 60.197368
Epoch 0 | Batch 600/4225 | Loss 1.173545 | Accuracy 60.378536
Epoch 0 | Batch 650/4225 | Loss 1.153719 | Accuracy 60.575077
Epoch 0 | Batch 700/4225 | Loss 1.135379 | Accuracy 60.690086
Epoch 0 | Batch 750/4225 | Loss 1.116992 | Accuracy 60.906292
Epoch 0 | Batch 800/4225 | Loss 1.100097 | Accuracy 61.247659
Epoch 0 | Batch 850/4225 | Loss 1.083981 | Accuracy 61.357961
Epoch 0 | Batch 900/4225 | Loss 1.069376 | Accuracy 61.372780
Epoch 0 | Batch 950/4225 | Loss 1.056050 | Accuracy 61.530626
Epoch 0 | Batch 1000/4225 | Loss 1.043617 | Accuracy 61.716409
Epoch 0 | Batch 1050/4225 | Loss 1.030423 | Accuracy 61.982636
Epoch 0 | Batch 1100/4225 | Loss 1.020630 | Accuracy 62.040191
Epoch 0 | Batch 1150/4225 | Loss 1.009675 | Accuracy 62.247502
Epoch 0 | Batch 1200/4225 | Loss 1.001433 | Accuracy 62.338676
Epoch 0 | Batch 1250/4225 | Loss 0.993408 | Accuracy 62.400080
Epoch 0 | Batch 1300/4225 | Loss 0.984240 | Accuracy 62.519216
Epoch 0 | Batch 1350/4225 | Loss 0.976793 | Accuracy 62.590211
Epoch 0 | Batch 1400/4225 | Loss 0.968691 | Accuracy 62.658369
Epoch 0 | Batch 1450/4225 | Loss 0.962422 | Accuracy 62.747674
Epoch 0 | Batch 1500/4225 | Loss 0.957385 | Accuracy 62.733178
Epoch 0 | Batch 1550/4225 | Loss 0.950633 | Accuracy 62.860654
Epoch 0 | Batch 1600/4225 | Loss 0.944907 | Accuracy 62.937227
Epoch 0 | Batch 1650/4225 | Loss 0.939933 | Accuracy 63.003483
Epoch 0 | Batch 1700/4225 | Loss 0.934123 | Accuracy 63.078704
Epoch 0 | Batch 1750/4225 | Loss 0.929727 | Accuracy 63.133567
Epoch 0 | Batch 1800/4225 | Loss 0.924618 | Accuracy 63.254789
Epoch 0 | Batch 1850/4225 | Loss 0.920482 | Accuracy 63.325567
Epoch 0 | Batch 1900/4225 | Loss 0.917018 | Accuracy 63.303853
Epoch 0 | Batch 1950/4225 | Loss 0.913487 | Accuracy 63.361738
Epoch 0 | Batch 2000/4225 | Loss 0.909689 | Accuracy 63.416729
Epoch 0 | Batch 2050/4225 | Loss 0.906344 | Accuracy 63.462945
Epoch 0 | Batch 2100/4225 | Loss 0.904300 | Accuracy 63.463827
Epoch 0 | Batch 2150/4225 | Loss 0.901263 | Accuracy 63.490818
Epoch 0 | Batch 2200/4225 | Loss 0.898088 | Accuracy 63.515164
Epoch 0 | Batch 2250/4225 | Loss 0.895154 | Accuracy 63.550922
Epoch 0 | Batch 2300/4225 | Loss 0.892493 | Accuracy 63.552532
Epoch 0 | Batch 2350/4225 | Loss 0.889716 | Accuracy 63.617875
Epoch 0 | Batch 2400/4225 | Loss 0.887196 | Accuracy 63.655768
Epoch 0 | Batch 2450/4225 | Loss 0.884394 | Accuracy 63.693390
Epoch 0 | Batch 2500/4225 | Loss 0.881760 | Accuracy 63.732007
Epoch 0 | Batch 2550/4225 | Loss 0.878902 | Accuracy 63.759310
Epoch 0 | Batch 2600/4225 | Loss 0.877001 | Accuracy 63.765138
Epoch 0 | Batch 2650/4225 | Loss 0.874565 | Accuracy 63.804932
