Data file :  /home/cs17btech11044/data_mining/data-mining/data/main_data_splits/train.json
checkpoints dir :  /home/cs17btech11044/data_mining/data-mining/nyt/bert-base-uncased_train
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Epoch 0 | Batch 0/4225 | Loss 3.964291 | Accuracy 0.000000
Epoch 0 | Batch 50/4225 | Loss 2.168531 | Accuracy 50.490196
Epoch 0 | Batch 100/4225 | Loss 1.842926 | Accuracy 53.032178
Epoch 0 | Batch 150/4225 | Loss 1.657938 | Accuracy 55.339404
Epoch 0 | Batch 200/4225 | Loss 1.529559 | Accuracy 56.902985
Epoch 0 | Batch 250/4225 | Loss 1.439946 | Accuracy 57.519920
Epoch 0 | Batch 300/4225 | Loss 1.371613 | Accuracy 58.544435
Epoch 0 | Batch 350/4225 | Loss 1.320536 | Accuracy 59.063390
Epoch 0 | Batch 400/4225 | Loss 1.278944 | Accuracy 59.530860
Epoch 0 | Batch 450/4225 | Loss 1.240549 | Accuracy 60.185698
Epoch 0 | Batch 500/4225 | Loss 1.215890 | Accuracy 60.541417
Epoch 0 | Batch 550/4225 | Loss 1.196789 | Accuracy 60.724819
Epoch 0 | Batch 600/4225 | Loss 1.178315 | Accuracy 60.992097
Epoch 0 | Batch 650/4225 | Loss 1.157923 | Accuracy 61.415131
Epoch 0 | Batch 700/4225 | Loss 1.143721 | Accuracy 61.581669
Epoch 0 | Batch 750/4225 | Loss 1.133132 | Accuracy 61.717710
Epoch 0 | Batch 800/4225 | Loss 1.125242 | Accuracy 61.711923
Epoch 0 | Batch 850/4225 | Loss 1.116953 | Accuracy 61.805964
Epoch 0 | Batch 900/4225 | Loss 1.109879 | Accuracy 62.010960
Epoch 0 | Batch 950/4225 | Loss 1.100913 | Accuracy 62.184543
Epoch 0 | Batch 1000/4225 | Loss 1.096933 | Accuracy 62.200300
Epoch 0 | Batch 1050/4225 | Loss 1.090908 | Accuracy 62.306732
Epoch 0 | Batch 1100/4225 | Loss 1.085450 | Accuracy 62.326862
Epoch 0 | Batch 1150/4225 | Loss 1.081533 | Accuracy 62.282798
Epoch 0 | Batch 1200/4225 | Loss 1.076027 | Accuracy 62.388114
Epoch 0 | Batch 1250/4225 | Loss 1.072565 | Accuracy 62.432554
Epoch 0 | Batch 1300/4225 | Loss 1.070264 | Accuracy 62.425538
