Data file :  /home/cs17btech11044/data_mining/data-mining/data/main_data_splits/train.json
checkpoints dir :  /home/cs17btech11044/data_mining/data-mining/nyt/bert-base-uncased_train
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Epoch 0 | Batch 0/4225 | Loss 3.948458 | Accuracy 3.125000
Epoch 0 | Batch 50/4225 | Loss 3.463564 | Accuracy 48.529412
Epoch 0 | Batch 100/4225 | Loss 3.363118 | Accuracy 50.433168
Epoch 0 | Batch 150/4225 | Loss 3.296197 | Accuracy 52.359272
Epoch 0 | Batch 200/4225 | Loss 3.239742 | Accuracy 54.446517
Epoch 0 | Batch 250/4225 | Loss 3.198393 | Accuracy 55.639940
Epoch 0 | Batch 300/4225 | Loss 3.161577 | Accuracy 56.821013
Epoch 0 | Batch 350/4225 | Loss 3.131715 | Accuracy 57.941595
Epoch 0 | Batch 400/4225 | Loss 3.109342 | Accuracy 58.525561
Epoch 0 | Batch 450/4225 | Loss 3.090226 | Accuracy 58.959257
Epoch 0 | Batch 500/4225 | Loss 3.072752 | Accuracy 59.474800
Epoch 0 | Batch 550/4225 | Loss 3.060727 | Accuracy 59.760662
Epoch 0 | Batch 600/4225 | Loss 3.050635 | Accuracy 59.993760
Epoch 0 | Batch 650/4225 | Loss 3.042062 | Accuracy 60.258257
Epoch 0 | Batch 700/4225 | Loss 3.034150 | Accuracy 60.471648
Epoch 0 | Batch 750/4225 | Loss 3.028376 | Accuracy 60.581724
Epoch 0 | Batch 800/4225 | Loss 3.023616 | Accuracy 60.662453
Epoch 0 | Batch 850/4225 | Loss 3.018328 | Accuracy 60.799794
Epoch 0 | Batch 900/4225 | Loss 3.014166 | Accuracy 60.776221
Epoch 0 | Batch 950/4225 | Loss 3.009659 | Accuracy 60.958859
Epoch 0 | Batch 1000/4225 | Loss 3.005665 | Accuracy 61.098277
Epoch 0 | Batch 1050/4225 | Loss 3.002596 | Accuracy 61.156042
Epoch 0 | Batch 1100/4225 | Loss 2.999725 | Accuracy 61.126249
Epoch 0 | Batch 1150/4225 | Loss 2.997023 | Accuracy 61.194070
Epoch 0 | Batch 1200/4225 | Loss 2.993829 | Accuracy 61.386345
Epoch 0 | Batch 1250/4225 | Loss 2.992114 | Accuracy 61.373401
Epoch 0 | Batch 1300/4225 | Loss 2.990038 | Accuracy 61.378267
Epoch 0 | Batch 1350/4225 | Loss 2.987665 | Accuracy 61.477609
Epoch 0 | Batch 1400/4225 | Loss 2.985499 | Accuracy 61.563169
Epoch 0 | Batch 1450/4225 | Loss 2.983908 | Accuracy 61.625603
Epoch 0 | Batch 1500/4225 | Loss 2.982206 | Accuracy 61.677632
Epoch 0 | Batch 1550/4225 | Loss 2.980716 | Accuracy 61.736380
Epoch 0 | Batch 1600/4225 | Loss 2.978846 | Accuracy 61.822689
Epoch 0 | Batch 1650/4225 | Loss 2.977933 | Accuracy 61.807238
Epoch 0 | Batch 1700/4225 | Loss 2.977076 | Accuracy 61.790858
Epoch 0 | Batch 1750/4225 | Loss 2.975633 | Accuracy 61.861079
Epoch 0 | Batch 1800/4225 | Loss 2.974085 | Accuracy 61.937812
Epoch 0 | Batch 1850/4225 | Loss 2.973229 | Accuracy 61.951310
Epoch 0 | Batch 1900/4225 | Loss 2.972337 | Accuracy 61.980537
Epoch 0 | Batch 1950/4225 | Loss 2.971429 | Accuracy 62.009867
Epoch 0 | Batch 2000/4225 | Loss 2.970630 | Accuracy 62.018991
Epoch 0 | Batch 2050/4225 | Loss 2.969454 | Accuracy 62.055095
Epoch 0 | Batch 2100/4225 | Loss 2.968505 | Accuracy 62.068658
Epoch 0 | Batch 2150/4225 | Loss 2.967797 | Accuracy 62.091760
Epoch 0 | Batch 2200/4225 | Loss 2.967006 | Accuracy 62.123751
Epoch 0 | Batch 2250/4225 | Loss 2.966213 | Accuracy 62.147379
Epoch 0 | Batch 2300/4225 | Loss 2.965842 | Accuracy 62.127879
Epoch 0 | Batch 2350/4225 | Loss 2.965355 | Accuracy 62.113197
Epoch 0 | Batch 2400/4225 | Loss 2.965124 | Accuracy 62.099125
Epoch 0 | Batch 2450/4225 | Loss 2.964132 | Accuracy 62.151928
Epoch 0 | Batch 2500/4225 | Loss 2.963455 | Accuracy 62.183876
Epoch 0 | Batch 2550/4225 | Loss 2.962814 | Accuracy 62.208448
Epoch 0 | Batch 2600/4225 | Loss 2.962320 | Accuracy 62.233276
Epoch 0 | Batch 2650/4225 | Loss 2.961833 | Accuracy 62.227697
Epoch 0 | Batch 2700/4225 | Loss 2.961369 | Accuracy 62.233895
Epoch 0 | Batch 2750/4225 | Loss 2.960851 | Accuracy 62.269402
Epoch 0 | Batch 2800/4225 | Loss 2.960679 | Accuracy 62.242280
Epoch 0 | Batch 2850/4225 | Loss 2.960371 | Accuracy 62.253376
Epoch 0 | Batch 2900/4225 | Loss 2.960088 | Accuracy 62.245777
Epoch 0 | Batch 2950/4225 | Loss 2.959904 | Accuracy 62.239495
Epoch 0 | Batch 3000/4225 | Loss 2.959574 | Accuracy 62.230298
Epoch 0 | Batch 3050/4225 | Loss 2.959108 | Accuracy 62.251106
Epoch 0 | Batch 3100/4225 | Loss 2.958765 | Accuracy 62.266204
Epoch 0 | Batch 3150/4225 | Loss 2.958579 | Accuracy 62.248096
Epoch 0 | Batch 3200/4225 | Loss 2.958226 | Accuracy 62.260817
Epoch 0 | Batch 3250/4225 | Loss 2.957921 | Accuracy 62.277953
Epoch 0 | Batch 3300/4225 | Loss 2.957730 | Accuracy 62.271849
Epoch 0 | Batch 3350/4225 | Loss 2.957538 | Accuracy 62.264063
Epoch 0 | Batch 3400/4225 | Loss 2.957386 | Accuracy 62.262019
Epoch 0 | Batch 3450/4225 | Loss 2.957096 | Accuracy 62.287199
Epoch 0 | Batch 3500/4225 | Loss 2.956713 | Accuracy 62.297379
Epoch 0 | Batch 3550/4225 | Loss 2.956379 | Accuracy 62.325753
Epoch 0 | Batch 3600/4225 | Loss 2.956256 | Accuracy 62.321230
Epoch 0 | Batch 3650/4225 | Loss 2.956027 | Accuracy 62.314263
Epoch 0 | Batch 3700/4225 | Loss 2.955888 | Accuracy 62.295663
Epoch 0 | Batch 3750/4225 | Loss 2.955870 | Accuracy 62.280059
Epoch 0 | Batch 3800/4225 | Loss 2.955470 | Accuracy 62.298573
Epoch 0 | Batch 3850/4225 | Loss 2.955261 | Accuracy 62.301999
Epoch 0 | Batch 3900/4225 | Loss 2.955098 | Accuracy 62.310145
Epoch 0 | Batch 3950/4225 | Loss 2.954716 | Accuracy 62.325993
Epoch 0 | Batch 4000/4225 | Loss 2.954443 | Accuracy 62.340665
Epoch 0 | Batch 4050/4225 | Loss 2.954309 | Accuracy 62.334917
Epoch 0 | Batch 4100/4225 | Loss 2.953916 | Accuracy 62.364362
Epoch 0 | Batch 4150/4225 | Loss 2.953736 | Accuracy 62.372772
Epoch 0 | Batch 4200/4225 | Loss 2.953566 | Accuracy 62.378749
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Epoch 1 | Batch 0/4225 | Loss 2.970967 | Accuracy 56.250000
Epoch 1 | Batch 50/4225 | Loss 2.924097 | Accuracy 64.276961
Epoch 1 | Batch 100/4225 | Loss 2.924803 | Accuracy 63.830446
Epoch 1 | Batch 150/4225 | Loss 2.926426 | Accuracy 63.555464
Epoch 1 | Batch 200/4225 | Loss 2.925230 | Accuracy 63.790423
Epoch 1 | Batch 250/4225 | Loss 2.926482 | Accuracy 63.732570
Epoch 1 | Batch 300/4225 | Loss 2.928506 | Accuracy 63.610880
Epoch 1 | Batch 350/4225 | Loss 2.928551 | Accuracy 63.586182
Epoch 1 | Batch 400/4225 | Loss 2.929170 | Accuracy 63.481920
Epoch 1 | Batch 450/4225 | Loss 2.930636 | Accuracy 63.303769
Epoch 1 | Batch 500/4225 | Loss 2.932354 | Accuracy 63.179890
Epoch 1 | Batch 550/4225 | Loss 2.932404 | Accuracy 63.265653
Epoch 1 | Batch 600/4225 | Loss 2.932412 | Accuracy 63.300749
Epoch 1 | Batch 650/4225 | Loss 2.932624 | Accuracy 63.191244
Epoch 1 | Batch 700/4225 | Loss 2.933173 | Accuracy 63.128566
Epoch 1 | Batch 750/4225 | Loss 2.934040 | Accuracy 62.941079
Epoch 1 | Batch 800/4225 | Loss 2.934613 | Accuracy 62.843321
Epoch 1 | Batch 850/4225 | Loss 2.934813 | Accuracy 62.845182
Epoch 1 | Batch 900/4225 | Loss 2.934486 | Accuracy 62.919673
Epoch 1 | Batch 950/4225 | Loss 2.934474 | Accuracy 62.897608
Epoch 1 | Batch 1000/4225 | Loss 2.934050 | Accuracy 62.962038
