Data file :  /home/cs17btech11044/data_mining/data-mining/data/main_data_splits/train.json
checkpoints dir :  /home/cs17btech11044/data_mining/data-mining/nyt/bert-base-uncased_trainmixup_2.00
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Epoch 0 | Batch 0/4225 | Loss 3.911002 | Accuracy 0.000000
Epoch 0 | Batch 50/4225 | Loss 2.171835 | Accuracy 50.183824
Epoch 0 | Batch 100/4225 | Loss 1.968468 | Accuracy 52.073020
Epoch 0 | Batch 150/4225 | Loss 1.816566 | Accuracy 55.049669
Epoch 0 | Batch 200/4225 | Loss 1.719947 | Accuracy 57.042910
Epoch 0 | Batch 250/4225 | Loss 1.664235 | Accuracy 57.955677
Epoch 0 | Batch 300/4225 | Loss 1.615578 | Accuracy 58.513289
Epoch 0 | Batch 350/4225 | Loss 1.585821 | Accuracy 58.840812
Epoch 0 | Batch 400/4225 | Loss 1.554982 | Accuracy 59.117830
Epoch 0 | Batch 450/4225 | Loss 1.535616 | Accuracy 59.333426
Epoch 0 | Batch 500/4225 | Loss 1.512165 | Accuracy 59.643214
Epoch 0 | Batch 550/4225 | Loss 1.497634 | Accuracy 59.942151
Epoch 0 | Batch 600/4225 | Loss 1.483524 | Accuracy 60.144551
Epoch 0 | Batch 650/4225 | Loss 1.469502 | Accuracy 60.320661
Epoch 0 | Batch 700/4225 | Loss 1.456868 | Accuracy 60.574180
Epoch 0 | Batch 750/4225 | Loss 1.445965 | Accuracy 60.781458
Epoch 0 | Batch 800/4225 | Loss 1.437757 | Accuracy 60.849719
Epoch 0 | Batch 850/4225 | Loss 1.432520 | Accuracy 60.865893
Epoch 0 | Batch 900/4225 | Loss 1.426369 | Accuracy 60.928829
Epoch 0 | Batch 950/4225 | Loss 1.420435 | Accuracy 60.988433
Epoch 0 | Batch 1000/4225 | Loss 1.414715 | Accuracy 61.138861
Epoch 0 | Batch 1050/4225 | Loss 1.408534 | Accuracy 61.197669
Epoch 0 | Batch 1100/4225 | Loss 1.403720 | Accuracy 61.313579
Epoch 0 | Batch 1150/4225 | Loss 1.397706 | Accuracy 61.449283
Epoch 0 | Batch 1200/4225 | Loss 1.398263 | Accuracy 61.388947
Epoch 0 | Batch 1250/4225 | Loss 1.397765 | Accuracy 61.383393
Epoch 0 | Batch 1300/4225 | Loss 1.393195 | Accuracy 61.479151
Epoch 0 | Batch 1350/4225 | Loss 1.390029 | Accuracy 61.503053
Epoch 0 | Batch 1400/4225 | Loss 1.385809 | Accuracy 61.554247
Epoch 0 | Batch 1450/4225 | Loss 1.382282 | Accuracy 61.625603
Epoch 0 | Batch 1500/4225 | Loss 1.379920 | Accuracy 61.640157
Epoch 0 | Batch 1550/4225 | Loss 1.377410 | Accuracy 61.649742
Epoch 0 | Batch 1600/4225 | Loss 1.375624 | Accuracy 61.684104
Epoch 0 | Batch 1650/4225 | Loss 1.375184 | Accuracy 61.691778
Epoch 0 | Batch 1700/4225 | Loss 1.372108 | Accuracy 61.789021
Epoch 0 | Batch 1750/4225 | Loss 1.370523 | Accuracy 61.855725
Epoch 0 | Batch 1800/4225 | Loss 1.370069 | Accuracy 61.854525
Epoch 0 | Batch 1850/4225 | Loss 1.368466 | Accuracy 61.858455
Epoch 0 | Batch 1900/4225 | Loss 1.366904 | Accuracy 61.904918
Epoch 0 | Batch 1950/4225 | Loss 1.364356 | Accuracy 62.003460
Epoch 0 | Batch 2000/4225 | Loss 1.364202 | Accuracy 61.979948
Epoch 0 | Batch 2050/4225 | Loss 1.362534 | Accuracy 62.018528
Epoch 0 | Batch 2100/4225 | Loss 1.362487 | Accuracy 62.021061
Epoch 0 | Batch 2150/4225 | Loss 1.362930 | Accuracy 61.966818
Epoch 0 | Batch 2200/4225 | Loss 1.361652 | Accuracy 61.994548
Epoch 0 | Batch 2250/4225 | Loss 1.360358 | Accuracy 62.008552
Epoch 0 | Batch 2300/4225 | Loss 1.360508 | Accuracy 61.979846
Epoch 0 | Batch 2350/4225 | Loss 1.359195 | Accuracy 61.998883
Epoch 0 | Batch 2400/4225 | Loss 1.358911 | Accuracy 61.998907
Epoch 0 | Batch 2450/4225 | Loss 1.357722 | Accuracy 62.024429
Epoch 0 | Batch 2500/4225 | Loss 1.357055 | Accuracy 62.010196
Epoch 0 | Batch 2550/4225 | Loss 1.355868 | Accuracy 62.025921
Epoch 0 | Batch 2600/4225 | Loss 1.354920 | Accuracy 62.032632
Epoch 0 | Batch 2650/4225 | Loss 1.354472 | Accuracy 62.055592
Epoch 0 | Batch 2700/4225 | Loss 1.355504 | Accuracy 62.051092
Epoch 0 | Batch 2750/4225 | Loss 1.355491 | Accuracy 62.037668
Epoch 0 | Batch 2800/4225 | Loss 1.354809 | Accuracy 62.045921
Epoch 0 | Batch 2850/4225 | Loss 1.354197 | Accuracy 62.057173
Epoch 0 | Batch 2900/4225 | Loss 1.353569 | Accuracy 62.078809
Epoch 0 | Batch 2950/4225 | Loss 1.352859 | Accuracy 62.080651
Epoch 0 | Batch 3000/4225 | Loss 1.352552 | Accuracy 62.092844
Epoch 0 | Batch 3050/4225 | Loss 1.351219 | Accuracy 62.117953
Epoch 0 | Batch 3100/4225 | Loss 1.350914 | Accuracy 62.104966
Epoch 0 | Batch 3150/4225 | Loss 1.351102 | Accuracy 62.106276
Epoch 0 | Batch 3200/4225 | Loss 1.350518 | Accuracy 62.113402
Epoch 0 | Batch 3250/4225 | Loss 1.350073 | Accuracy 62.103968
Epoch 0 | Batch 3300/4225 | Loss 1.349563 | Accuracy 62.111860
Epoch 0 | Batch 3350/4225 | Loss 1.349296 | Accuracy 62.141898
Epoch 0 | Batch 3400/4225 | Loss 1.348586 | Accuracy 62.160026
Epoch 0 | Batch 3450/4225 | Loss 1.348078 | Accuracy 62.158613
Epoch 0 | Batch 3500/4225 | Loss 1.348239 | Accuracy 62.169737
Epoch 0 | Batch 3550/4225 | Loss 1.347657 | Accuracy 62.167347
Epoch 0 | Batch 3600/4225 | Loss 1.347018 | Accuracy 62.161552
Epoch 0 | Batch 3650/4225 | Loss 1.347032 | Accuracy 62.159340
Epoch 0 | Batch 3700/4225 | Loss 1.346583 | Accuracy 62.194339
Epoch 0 | Batch 3750/4225 | Loss 1.347282 | Accuracy 62.170088
Epoch 0 | Batch 3800/4225 | Loss 1.347419 | Accuracy 62.162096
Epoch 0 | Batch 3850/4225 | Loss 1.347217 | Accuracy 62.142950
Epoch 0 | Batch 3900/4225 | Loss 1.347111 | Accuracy 62.135510
Epoch 0 | Batch 3950/4225 | Loss 1.345876 | Accuracy 62.155942
Epoch 0 | Batch 4000/4225 | Loss 1.345683 | Accuracy 62.164928
Epoch 0 | Batch 4050/4225 | Loss 1.346316 | Accuracy 62.152092
Epoch 0 | Batch 4100/4225 | Loss 1.345433 | Accuracy 62.193672
Epoch 0 | Batch 4150/4225 | Loss 1.344804 | Accuracy 62.206396
Epoch 0 | Batch 4200/4225 | Loss 1.344555 | Accuracy 62.194269
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Epoch 1 | Batch 0/4225 | Loss 1.364917 | Accuracy 56.250000
Epoch 1 | Batch 50/4225 | Loss 1.340556 | Accuracy 61.825980
Epoch 1 | Batch 100/4225 | Loss 1.318605 | Accuracy 62.902228
Epoch 1 | Batch 150/4225 | Loss 1.319251 | Accuracy 63.162252
Epoch 1 | Batch 200/4225 | Loss 1.316961 | Accuracy 62.904229
Epoch 1 | Batch 250/4225 | Loss 1.311302 | Accuracy 63.159861
Epoch 1 | Batch 300/4225 | Loss 1.310707 | Accuracy 63.257890
Epoch 1 | Batch 350/4225 | Loss 1.302368 | Accuracy 63.141026
Epoch 1 | Batch 400/4225 | Loss 1.305826 | Accuracy 63.302681
Epoch 1 | Batch 450/4225 | Loss 1.310544 | Accuracy 63.317627
Epoch 1 | Batch 500/4225 | Loss 1.310047 | Accuracy 63.423154
Epoch 1 | Batch 550/4225 | Loss 1.312465 | Accuracy 63.237296
Epoch 1 | Batch 600/4225 | Loss 1.314139 | Accuracy 63.045965
Epoch 1 | Batch 650/4225 | Loss 1.313816 | Accuracy 63.076037
Epoch 1 | Batch 700/4225 | Loss 1.312792 | Accuracy 63.039408
Epoch 1 | Batch 750/4225 | Loss 1.310976 | Accuracy 63.095040
Epoch 1 | Batch 800/4225 | Loss 1.312451 | Accuracy 63.077403
Epoch 1 | Batch 850/4225 | Loss 1.315266 | Accuracy 63.047150
Epoch 1 | Batch 900/4225 | Loss 1.317329 | Accuracy 63.041065
Epoch 1 | Batch 950/4225 | Loss 1.317501 | Accuracy 63.058623
Epoch 1 | Batch 1000/4225 | Loss 1.317723 | Accuracy 62.937063
Epoch 1 | Batch 1050/4225 | Loss 1.320738 | Accuracy 62.916270
Epoch 1 | Batch 1100/4225 | Loss 1.319804 | Accuracy 62.886013
Epoch 1 | Batch 1150/4225 | Loss 1.320469 | Accuracy 62.839379
Epoch 1 | Batch 1200/4225 | Loss 1.320164 | Accuracy 62.924126
Epoch 1 | Batch 1250/4225 | Loss 1.319540 | Accuracy 62.839728
Epoch 1 | Batch 1300/4225 | Loss 1.319766 | Accuracy 62.817064
Epoch 1 | Batch 1350/4225 | Loss 1.319801 | Accuracy 62.858531
Epoch 1 | Batch 1400/4225 | Loss 1.319853 | Accuracy 62.827891
Epoch 1 | Batch 1450/4225 | Loss 1.318892 | Accuracy 62.879049
Epoch 1 | Batch 1500/4225 | Loss 1.317402 | Accuracy 62.860177
Epoch 1 | Batch 1550/4225 | Loss 1.316469 | Accuracy 62.888862
Epoch 1 | Batch 1600/4225 | Loss 1.316054 | Accuracy 62.956746
Epoch 1 | Batch 1650/4225 | Loss 1.317487 | Accuracy 62.914522
Epoch 1 | Batch 1700/4225 | Loss 1.317936 | Accuracy 62.880291
Epoch 1 | Batch 1750/4225 | Loss 1.319004 | Accuracy 62.874786
Epoch 1 | Batch 1800/4225 | Loss 1.318600 | Accuracy 62.885203
Epoch 1 | Batch 1850/4225 | Loss 1.318527 | Accuracy 62.868044
Epoch 1 | Batch 1900/4225 | Loss 1.317690 | Accuracy 62.861652
Epoch 1 | Batch 1950/4225 | Loss 1.317289 | Accuracy 62.847578
Epoch 1 | Batch 2000/4225 | Loss 1.317311 | Accuracy 62.821714
Epoch 1 | Batch 2050/4225 | Loss 1.317011 | Accuracy 62.845868
Epoch 1 | Batch 2100/4225 | Loss 1.318300 | Accuracy 62.821276
Epoch 1 | Batch 2150/4225 | Loss 1.317098 | Accuracy 62.847222
Epoch 1 | Batch 2200/4225 | Loss 1.316633 | Accuracy 62.835075
Epoch 1 | Batch 2250/4225 | Loss 1.316152 | Accuracy 62.849845
Epoch 1 | Batch 2300/4225 | Loss 1.315172 | Accuracy 62.859898
Epoch 1 | Batch 2350/4225 | Loss 1.315332 | Accuracy 62.865536
Epoch 1 | Batch 2400/4225 | Loss 1.315281 | Accuracy 62.848813
Epoch 1 | Batch 2450/4225 | Loss 1.316388 | Accuracy 62.837872
Epoch 1 | Batch 2500/4225 | Loss 1.316808 | Accuracy 62.826120
Epoch 1 | Batch 2550/4225 | Loss 1.316908 | Accuracy 62.798902
Epoch 1 | Batch 2600/4225 | Loss 1.316961 | Accuracy 62.829200
Epoch 1 | Batch 2650/4225 | Loss 1.316157 | Accuracy 62.825349
Epoch 1 | Batch 2700/4225 | Loss 1.316099 | Accuracy 62.827425
Epoch 1 | Batch 2750/4225 | Loss 1.316529 | Accuracy 62.810115
Epoch 1 | Batch 2800/4225 | Loss 1.316376 | Accuracy 62.804579
Epoch 1 | Batch 2850/4225 | Loss 1.316313 | Accuracy 62.838697
Epoch 1 | Batch 2900/4225 | Loss 1.316140 | Accuracy 62.859790
Epoch 1 | Batch 2950/4225 | Loss 1.316497 | Accuracy 62.850517
Epoch 1 | Batch 3000/4225 | Loss 1.316399 | Accuracy 62.861338
Epoch 1 | Batch 3050/4225 | Loss 1.316022 | Accuracy 62.863610
Epoch 1 | Batch 3100/4225 | Loss 1.316523 | Accuracy 62.839608
Epoch 1 | Batch 3150/4225 | Loss 1.316631 | Accuracy 62.812401
Epoch 1 | Batch 3200/4225 | Loss 1.316312 | Accuracy 62.793853
Epoch 1 | Batch 3250/4225 | Loss 1.316780 | Accuracy 62.749923
Epoch 1 | Batch 3300/4225 | Loss 1.317013 | Accuracy 62.734777
Epoch 1 | Batch 3350/4225 | Loss 1.317179 | Accuracy 62.737802
Epoch 1 | Batch 3400/4225 | Loss 1.317560 | Accuracy 62.719605
Epoch 1 | Batch 3450/4225 | Loss 1.318125 | Accuracy 62.702840
Epoch 1 | Batch 3500/4225 | Loss 1.317789 | Accuracy 62.710654
Epoch 1 | Batch 3550/4225 | Loss 1.318423 | Accuracy 62.699768
Epoch 1 | Batch 3600/4225 | Loss 1.317724 | Accuracy 62.709143
Epoch 1 | Batch 3650/4225 | Loss 1.316802 | Accuracy 62.712271
Epoch 1 | Batch 3700/4225 | Loss 1.316298 | Accuracy 62.750777
Epoch 1 | Batch 3750/4225 | Loss 1.316204 | Accuracy 62.762430
Epoch 1 | Batch 3800/4225 | Loss 1.315854 | Accuracy 62.781176
Epoch 1 | Batch 3850/4225 | Loss 1.316547 | Accuracy 62.754804
Epoch 1 | Batch 3900/4225 | Loss 1.316092 | Accuracy 62.769162
Epoch 1 | Batch 3950/4225 | Loss 1.316309 | Accuracy 62.746773
Epoch 1 | Batch 4000/4225 | Loss 1.316333 | Accuracy 62.755405
Epoch 1 | Batch 4050/4225 | Loss 1.316442 | Accuracy 62.749167
Epoch 1 | Batch 4100/4225 | Loss 1.317184 | Accuracy 62.732413
