Data file :  /home/cs17btech11044/data_mining/data-mining/data/main_data_splits/train.json
checkpoints dir :  /home/cs17btech11044/data_mining/data-mining/nyt/bert-base-uncased_trainmixup_2.00
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Epoch 0 | Batch 0/4225 | Loss 3.992940 | Accuracy 0.000000
Epoch 0 | Batch 50/4225 | Loss 3.452833 | Accuracy 48.958333
Epoch 0 | Batch 100/4225 | Loss 3.370829 | Accuracy 49.628713
Epoch 0 | Batch 150/4225 | Loss 3.317792 | Accuracy 49.379139
Epoch 0 | Batch 200/4225 | Loss 3.267108 | Accuracy 50.171020
Epoch 0 | Batch 250/4225 | Loss 3.228659 | Accuracy 51.344622
Epoch 0 | Batch 300/4225 | Loss 3.194124 | Accuracy 52.522841
Epoch 0 | Batch 350/4225 | Loss 3.165616 | Accuracy 53.570157
Epoch 0 | Batch 400/4225 | Loss 3.143828 | Accuracy 54.496571
Epoch 0 | Batch 450/4225 | Loss 3.124687 | Accuracy 55.210643
Epoch 0 | Batch 500/4225 | Loss 3.108228 | Accuracy 55.906936
Epoch 0 | Batch 550/4225 | Loss 3.095805 | Accuracy 56.397459
Epoch 0 | Batch 600/4225 | Loss 3.086295 | Accuracy 56.785566
Epoch 0 | Batch 650/4225 | Loss 3.077142 | Accuracy 57.253264
Epoch 0 | Batch 700/4225 | Loss 3.069033 | Accuracy 57.600749
Epoch 0 | Batch 750/4225 | Loss 3.063200 | Accuracy 57.785453
Epoch 0 | Batch 800/4225 | Loss 3.057748 | Accuracy 58.064139
Epoch 0 | Batch 850/4225 | Loss 3.053655 | Accuracy 58.115452
Epoch 0 | Batch 900/4225 | Loss 3.050321 | Accuracy 58.199223
Epoch 0 | Batch 950/4225 | Loss 3.046471 | Accuracy 58.428628
Epoch 0 | Batch 1000/4225 | Loss 3.042939 | Accuracy 58.553946
Epoch 0 | Batch 1050/4225 | Loss 3.040158 | Accuracy 58.658421
Epoch 0 | Batch 1100/4225 | Loss 3.037161 | Accuracy 58.798819
Epoch 0 | Batch 1150/4225 | Loss 3.034374 | Accuracy 58.962315
Epoch 0 | Batch 1200/4225 | Loss 3.032632 | Accuracy 59.002914
Epoch 0 | Batch 1250/4225 | Loss 3.030777 | Accuracy 59.055256
Epoch 0 | Batch 1300/4225 | Loss 3.029060 | Accuracy 59.077152
Epoch 0 | Batch 1350/4225 | Loss 3.027175 | Accuracy 59.134437
Epoch 0 | Batch 1400/4225 | Loss 3.025026 | Accuracy 59.238936
Epoch 0 | Batch 1450/4225 | Loss 3.023396 | Accuracy 59.297467
Epoch 0 | Batch 1500/4225 | Loss 3.022192 | Accuracy 59.354181
Epoch 0 | Batch 1550/4225 | Loss 3.020362 | Accuracy 59.441489
Epoch 0 | Batch 1600/4225 | Loss 3.019054 | Accuracy 59.478451
Epoch 0 | Batch 1650/4225 | Loss 3.018071 | Accuracy 59.513174
Epoch 0 | Batch 1700/4225 | Loss 3.016549 | Accuracy 59.613830
Epoch 0 | Batch 1750/4225 | Loss 3.015223 | Accuracy 59.687322
