Data file :  /home/cs17btech11044/data_mining/data-mining/data/main_data_splits/train.json
checkpoints dir :  /home/cs17btech11044/data_mining/data-mining/nyt/bert-base-uncased_trainmixup_2.00
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Epoch 0 | Batch 0/4225 | Loss 3.947944 | Accuracy 3.125000
Epoch 0 | Batch 50/4225 | Loss 3.444453 | Accuracy 49.019608
Epoch 0 | Batch 100/4225 | Loss 3.360930 | Accuracy 49.504950
Epoch 0 | Batch 150/4225 | Loss 3.306508 | Accuracy 49.089404
Epoch 0 | Batch 200/4225 | Loss 3.260763 | Accuracy 48.865050
Epoch 0 | Batch 250/4225 | Loss 3.217850 | Accuracy 49.016434
Epoch 0 | Batch 300/4225 | Loss 3.180547 | Accuracy 48.992940
Epoch 0 | Batch 350/4225 | Loss 3.144206 | Accuracy 49.563746
Epoch 0 | Batch 400/4225 | Loss 3.113723 | Accuracy 49.664900
Epoch 0 | Batch 450/4225 | Loss 3.088628 | Accuracy 49.598115
Epoch 0 | Batch 500/4225 | Loss 3.065630 | Accuracy 49.544661
Epoch 0 | Batch 550/4225 | Loss 3.043332 | Accuracy 49.699410
Epoch 0 | Batch 600/4225 | Loss 3.023963 | Accuracy 49.693220
Epoch 0 | Batch 650/4225 | Loss 3.007792 | Accuracy 49.553571
Epoch 0 | Batch 700/4225 | Loss 2.992884 | Accuracy 49.349144
Epoch 0 | Batch 750/4225 | Loss 2.979205 | Accuracy 49.201065
Epoch 0 | Batch 800/4225 | Loss 2.965435 | Accuracy 49.371879
Epoch 0 | Batch 850/4225 | Loss 2.954378 | Accuracy 49.291275
Epoch 0 | Batch 900/4225 | Loss 2.942750 | Accuracy 49.375694
Epoch 0 | Batch 950/4225 | Loss 2.932449 | Accuracy 49.395373
Epoch 0 | Batch 1000/4225 | Loss 2.923289 | Accuracy 49.394356
Epoch 0 | Batch 1050/4225 | Loss 2.914815 | Accuracy 49.417222
Epoch 0 | Batch 1100/4225 | Loss 2.907970 | Accuracy 49.338669
Epoch 0 | Batch 1150/4225 | Loss 2.900952 | Accuracy 49.323957
Epoch 0 | Batch 1200/4225 | Loss 2.894562 | Accuracy 49.344296
Epoch 0 | Batch 1250/4225 | Loss 2.888727 | Accuracy 49.348022
Epoch 0 | Batch 1300/4225 | Loss 2.883732 | Accuracy 49.332244
Epoch 0 | Batch 1350/4225 | Loss 2.879183 | Accuracy 49.313009
Epoch 0 | Batch 1400/4225 | Loss 2.874898 | Accuracy 49.277302
Epoch 0 | Batch 1450/4225 | Loss 2.870881 | Accuracy 49.254824
Epoch 0 | Batch 1500/4225 | Loss 2.866878 | Accuracy 49.262991
Epoch 0 | Batch 1550/4225 | Loss 2.862973 | Accuracy 49.296825
Epoch 0 | Batch 1600/4225 | Loss 2.860210 | Accuracy 49.230949
Epoch 0 | Batch 1650/4225 | Loss 2.857170 | Accuracy 49.240990
Epoch 0 | Batch 1700/4225 | Loss 2.853987 | Accuracy 49.226558
Epoch 0 | Batch 1750/4225 | Loss 2.850979 | Accuracy 49.230797
